10;5664
20;10949
30;5286
40;6419
50;10950
60;13970
70;26808
80;21522
90;100059
100;25298
110;16613
120;16236
130;19634
140;35870
150;25298
160;82690
170;29073
180;30206
190;42666
200;109876
210;61545
220;47576
230;90242
240;57770
250;37381
260;37758
270;37380
280;39268
290;41534
300;42289
310;43044
320;50218
330;48708
340;57015
350;58525
360;61168
370;61923
380;68343
390;68719
400;70985
410;75894
420;76271
430;79292
440;87976
450;90242
460;90619
470;107233
480;97794
490;103080
500;107610
510;106855
520;104968
530;107234
540;120071
550;126867
560;175198
570;134797
580;135929
590;141215
600;131398
610;162360
620;200118
630;150278
640;155941
650;185392
660;193699
670;195587
680;1265275
690;240519
700;204271
710;181617
720;208425
730;329628
740;223906
750;222395
760;235233
770;239387
780;242785
790;245051
800;251470
810;259398
820;260531
830;274124
840;282431
850;1176543
860;288095
870;287717
880;297534
890;308484
900;310749
910;312637
920;323587
930;327363
940;388154
950;413452
960;318678
970;331894
980;346620
990;356436
1000;356437
