2;4531
4;1888
8;1511
16;1888
32;5286
64;13593
128;54372
256;55505
512;213333
1024;731752
2048;1637570
4096;4448663
8192;18630241
16384;52520808
32768;192702410
65536;737913999
131072;2698451841
262144;9723732044
524288;35947009103
1048576;134479482230
