10;3556
20;2462
30;3010
40;4377
50;7387
60;9302
70;14499
80;13679
90;16962
100;20245
110;20518
120;9302
130;10397
140;15047
150;13131
160;14774
170;23254
180;18330
190;20244
200;22980
210;23254
220;24074
230;27358
240;29546
250;31735
260;33377
270;40763
280;45415
290;48697
300;48697
310;49792
320;54990
330;61282
340;119007
350;52801
360;54442
370;56084
380;59914
390;63744
400;64291
410;68395
420;72772
430;73046
440;77970
450;82347
460;83715
470;91923
480;96026
490;94932
500;98488
510;102319
520;102045
530;107790
540;108064
550;111073
560;114630
570;120101
580;123110
590;126393
600;130771
610;141167
620;144724
630;142808
640;148553
650;153204
660;160317
670;161959
680;166610
690;170987
700;173175
710;178374
720;182751
730;185213
740;191779
750;193968
760;201080
770;206552
780;209836
790;214212
800;216948
810;221052
820;223515
830;236647
840;241024
850;243759
860;252514
870;256891
880;260448
890;269749
900;270297
910;273853
920;282607
930;286164
940;289447
950;297381
960;300938
970;305588
980;331852
990;321730
1000;327748
